gouvernorat,delegation,superficie,nb_pieces,chambres,salle_de_bains,etat,etage,prix
tunis,Ariana Ville,288,6.0,5,3,Bon état,1,980000.0
tunis,Les Berges Du Lac,80,3.0,2,1,Bon état,1,325000.0
tunis,Ariana Ville,51,2.0,1,1,Nouveau,1,309000.0
tunis,Ariana Ville,247,6.0,4,3,Bon état,1,820000.0
tunis,Ariana Ville,134,4.0,3,2,Bon état,1,450000.0
tunis,Ain Zaghouan,291,4.0,3,3,Moins d'un an,1,970000.0
tunis,Ariana Ville,70,2.0,1,1,Nouveau,1,440000.0
tunis,Aouina,148,4.0,3,2,Bon état,1,370000.0
tunis,Ain Zaghouan,161,4.0,3,3,Moins d'un an,4,514000.0
tunis,Ariana Ville,51,2.0,2,1,Moins d'un an,2,295896.0
tunis,Ariana Ville,81,3.0,2,1,Moins d'un an,1,270000.0
tunis,Les Berges Du Lac,137,3.0,2,2,5-10 ans,8,500000.0
tunis,Gammarth,158,2.0,3,1,Nouveau,1,580000.0
tunis,Ariana Ville,166,4.0,3,2,Nouveau,1,748000.0
tunis,Gammarth,160,4.0,3,2,5-10 ans,3,500000.0
tunis,Ariana Ville,126,3.0,2,2,Nouveau,1,592600.0
tunis,Ariana Ville,119,4.0,3,2,Moins d'un an,1,393000.0
tunis,Gammarth,140,3.0,2,1,Nouveau,1,420000.0
tunis,Cite El Khadra,100,4.0,3,1,Bon état,1,245000.0
tunis,El Menzah 7,114,3.0,2,2,Nouveau,1,380000.0
tunis,Les Berges Du Lac,130,3.0,2,1,Bon état,1,660000.0
tunis,Les Berges Du Lac,171,3.0,2,2,1-5 ans,1,850000.0
tunis,Ariana Ville,85,2.0,1,1,Moins d'un an,1,413000.0
tunis,Ain Zaghouan,101,3.0,4,1,Nouveau,1,325000.0
tunis,Le Bardo,123,4.0,3,2,10-20 ans,2,205000.0
tunis,Ain Zaghouan,160,4.0,3,2,Bon état,1,785000.0
tunis,Ain Zaghouan,135,3.0,2,2,Bon état,1,350000.0
tunis,Aouina,129,2.0,1,1,Bon état,1,410000.0
tunis,Ain Zaghouan,60,2.0,1,1,Nouveau,1,238000.0
tunis,Ariana Ville,113,3.0,2,2,Bon état,1,490000.0
tunis,Les Berges Du Lac,195,5.0,3,2,5-10 ans,1,860000.0
tunis,Ariana Ville,266,4.0,2,1,nan,1,679000.0
