delegation,superficie,nb_pieces,chambres,salle_de_bains,etage,gouvernorat_ariana,gouvernorat_ben-arous,gouvernorat_la-manouba,gouvernorat_tunis,prix
62.0,194.0,3.0,3,1,1,0.0,0.0,0.0,1.0,849000.0
21.0,109.0,1.0,2,2,1,0.0,0.0,0.0,1.0,371000.0
33.0,97.0,3.0,2,2,1,0.0,0.0,0.0,1.0,548000.0
62.0,300.0,5.0,4,3,1,0.0,0.0,0.0,1.0,1800000.0
21.0,118.0,3.0,2,2,1,0.0,0.0,0.0,1.0,376000.0
33.0,125.0,4.0,3,2,1,0.0,0.0,0.0,1.0,416000.0
33.0,245.0,4.0,3,2,1,0.0,0.0,0.0,1.0,900000.0
28.0,220.0,6.0,4,4,1,0.0,0.0,0.0,1.0,720000.0
33.0,153.0,5.0,3,2,1,0.0,0.0,0.0,1.0,520000.0
33.0,188.0,5.0,3,2,5,0.0,0.0,0.0,1.0,690000.0
40.0,140.0,4.0,3,1,1,0.0,0.0,0.0,1.0,205000.0
9.0,94.0,3.0,2,1,3,0.0,0.0,0.0,1.0,270000.0
33.0,76.0,1.0,2,1,1,0.0,0.0,0.0,1.0,435000.0
33.0,157.0,4.0,3,2,1,0.0,0.0,0.0,1.0,700000.0
33.0,100.0,3.0,2,1,1,0.0,0.0,0.0,1.0,555000.0
23.0,100.0,3.0,2,1,1,0.0,0.0,0.0,1.0,270000.0
21.0,67.0,1.0,1,1,1,0.0,0.0,0.0,1.0,241000.0
28.0,109.0,4.0,3,1,1,0.0,0.0,0.0,1.0,260000.0
9.0,147.0,4.0,3,2,5,0.0,0.0,0.0,1.0,370000.0
33.0,103.0,4.0,3,1,1,0.0,0.0,0.0,1.0,300000.0
57.0,150.0,3.0,2,2,1,0.0,0.0,0.0,1.0,980000.0
57.0,111.0,2.0,1,1,1,0.0,0.0,0.0,1.0,720000.0
33.0,130.0,3.0,2,2,1,0.0,0.0,0.0,1.0,720000.0
62.0,194.0,4.0,3,3,1,0.0,0.0,0.0,1.0,865000.0
9.0,74.0,2.0,1,1,6,0.0,0.0,0.0,1.0,230000.0
62.0,232.0,4.0,3,2,1,0.0,0.0,0.0,1.0,1000000.0
20.0,300.0,4.0,3,1,1,0.0,0.0,0.0,1.0,1850000.0
33.0,181.0,4.0,3,3,1,0.0,0.0,0.0,1.0,795000.0
9.0,112.0,4.0,3,2,1,0.0,0.0,0.0,1.0,594000.0
33.0,109.0,2.0,2,1,1,0.0,0.0,0.0,1.0,250000.0
21.0,115.0,3.0,2,2,1,0.0,0.0,0.0,1.0,490000.0
19.0,116.0,3.0,2,1,3,0.0,0.0,0.0,1.0,420000.0
21.0,117.0,3.0,2,2,1,0.0,0.0,0.0,1.0,386000.0
21.0,189.0,3.0,3,1,1,0.0,0.0,0.0,1.0,640000.0
21.0,122.0,3.0,2,2,3,0.0,0.0,0.0,1.0,400000.0
33.0,162.0,3.0,2,1,1,0.0,0.0,0.0,1.0,825000.0
57.0,138.0,3.0,2,2,1,0.0,0.0,0.0,1.0,692500.0
57.0,149.0,3.0,2,1,1,0.0,0.0,0.0,1.0,972000.0
57.0,138.0,3.0,2,1,1,0.0,0.0,0.0,1.0,531552.0
33.0,112.0,2.0,2,1,1,0.0,0.0,0.0,1.0,398000.0
20.0,137.0,2.0,2,1,1,0.0,0.0,0.0,1.0,300000.0
33.0,163.0,4.0,3,2,1,0.0,0.0,0.0,1.0,825000.0
20.0,93.0,1.0,2,1,1,0.0,0.0,0.0,1.0,270000.0
20.0,100.0,4.0,3,1,2,0.0,0.0,0.0,1.0,260000.0
21.0,160.0,3.0,2,2,1,0.0,0.0,0.0,1.0,865000.0
33.0,170.0,4.0,3,3,1,0.0,0.0,0.0,1.0,788000.0
33.0,153.0,4.0,3,2,1,0.0,0.0,0.0,1.0,530000.0
21.0,120.0,3.0,2,2,1,0.0,0.0,0.0,1.0,564000.0
20.0,97.0,3.0,2,1,4,0.0,0.0,0.0,1.0,280000.0
33.0,230.0,5.0,3,2,1,0.0,0.0,0.0,1.0,790000.0
33.0,200.0,4.0,3,2,1,0.0,0.0,0.0,1.0,1600000.0
21.0,102.0,2.0,2,1,1,0.0,0.0,0.0,1.0,750000.0
9.0,100.0,3.0,2,1,1,0.0,0.0,0.0,1.0,260000.0
57.0,120.0,2.0,1,1,1,0.0,0.0,0.0,1.0,680000.0
33.0,172.0,4.0,4,3,1,0.0,0.0,0.0,1.0,780000.0
33.0,99.0,3.0,2,2,1,0.0,0.0,0.0,1.0,437000.0
33.0,136.0,4.0,3,3,1,0.0,0.0,0.0,1.0,590000.0
33.0,126.0,3.0,2,2,1,0.0,0.0,0.0,1.0,668000.0
29.0,160.0,4.0,3,1,2,0.0,0.0,0.0,1.0,304000.0
33.0,136.0,4.0,3,3,1,0.0,0.0,0.0,1.0,620000.0
21.0,167.0,4.0,3,3,2,0.0,0.0,0.0,1.0,635000.0
33.0,200.0,4.0,3,2,1,0.0,0.0,0.0,1.0,990000.0
33.0,70.0,2.0,1,1,1,0.0,0.0,0.0,1.0,410000.0
33.0,100.0,2.0,2,1,1,0.0,0.0,0.0,1.0,340000.0
49.0,41.0,2.0,2,1,1,0.0,0.0,0.0,1.0,110000.0
33.0,75.0,2.0,2,1,1,0.0,0.0,0.0,1.0,570000.0
33.0,155.0,4.0,3,2,3,0.0,0.0,0.0,1.0,550000.0
33.0,68.0,2.0,2,1,2,0.0,0.0,0.0,1.0,400000.0
33.0,115.0,3.0,2,2,1,0.0,0.0,0.0,1.0,415000.0
28.0,180.0,4.0,3,2,1,0.0,0.0,0.0,1.0,470000.0
21.0,206.0,3.0,2,2,1,0.0,0.0,0.0,1.0,390000.0
21.0,43.0,1.0,1,1,1,0.0,0.0,0.0,1.0,245000.0
9.0,109.0,3.0,2,1,6,0.0,0.0,0.0,1.0,250000.0
62.0,180.0,4.0,3,3,3,0.0,0.0,0.0,1.0,820000.0
9.0,73.0,2.0,1,1,3,0.0,0.0,0.0,1.0,175000.0
23.0,97.0,3.0,2,1,6,0.0,0.0,0.0,1.0,210000.0
33.0,185.0,4.0,3,3,1,0.0,0.0,0.0,1.0,1320000.0
33.0,83.0,3.0,2,1,3,0.0,0.0,0.0,1.0,450000.0
33.0,300.0,5.0,4,3,4,0.0,0.0,0.0,1.0,3000000.0
33.0,30.0,3.0,2,1,10,0.0,0.0,0.0,1.0,680000.0
33.0,300.0,18.0,12,6,1,0.0,0.0,0.0,1.0,900000.0
57.0,30.0,3.0,2,1,1,0.0,0.0,0.0,1.0,1850000.0
9.0,142.0,4.0,3,2,3,0.0,0.0,0.0,1.0,370000.0
21.0,167.0,4.0,3,3,1,0.0,0.0,0.0,1.0,635000.0
33.0,194.0,5.0,4,4,3,0.0,0.0,0.0,1.0,1150000.0
33.0,92.0,3.0,2,1,1,0.0,0.0,0.0,1.0,506000.0
33.0,137.0,3.0,2,2,1,0.0,0.0,0.0,1.0,724000.0
62.0,74.0,2.0,1,1,1,0.0,0.0,0.0,1.0,380000.0
49.0,114.0,3.0,3,1,2,0.0,0.0,0.0,1.0,230000.0
33.0,220.0,3.0,4,1,1,0.0,0.0,0.0,1.0,650000.0
33.0,172.0,4.0,3,2,1,0.0,0.0,0.0,1.0,855000.0
33.0,208.0,4.0,3,2,1,0.0,0.0,0.0,1.0,850000.0
62.0,238.0,4.0,3,2,1,0.0,0.0,0.0,1.0,1000000.0
57.0,149.0,2.0,2,1,1,0.0,0.0,0.0,1.0,410000.0
33.0,84.0,2.0,2,1,1,0.0,0.0,0.0,1.0,750000.0
33.0,300.0,4.0,4,3,1,0.0,0.0,0.0,1.0,950000.0
21.0,85.0,2.0,1,1,1,0.0,0.0,0.0,1.0,400000.0
33.0,67.0,1.0,2,1,1,0.0,0.0,0.0,1.0,276000.0
19.0,145.0,1.0,4,2,1,0.0,0.0,0.0,1.0,450000.0
29.0,120.0,4.0,3,2,4,0.0,0.0,0.0,1.0,290000.0
33.0,75.0,3.0,2,1,1,0.0,0.0,0.0,1.0,370000.0
21.0,137.0,4.0,3,2,1,0.0,0.0,0.0,1.0,410000.0
21.0,146.0,1.0,2,2,1,0.0,0.0,0.0,1.0,575000.0
62.0,220.0,4.0,3,2,1,0.0,0.0,0.0,1.0,1000000.0
9.0,65.0,1.0,1,1,4,0.0,0.0,0.0,1.0,227500.0
19.0,120.0,4.0,4,1,1,0.0,0.0,0.0,1.0,450000.0
28.0,100.0,3.0,3,1,1,0.0,0.0,0.0,1.0,220000.0
21.0,202.0,5.0,4,3,7,0.0,0.0,0.0,1.0,620000.0
57.0,150.0,3.0,2,2,1,0.0,0.0,0.0,1.0,950000.0
33.0,273.0,5.0,4,5,1,0.0,0.0,0.0,1.0,1801110.0
33.0,147.0,3.0,2,2,1,0.0,0.0,0.0,1.0,650000.0
33.0,190.0,4.0,3,3,3,0.0,0.0,0.0,1.0,1263000.0
33.0,30.0,1.0,1,1,1,0.0,0.0,0.0,1.0,300000.0
21.0,127.0,3.0,2,2,1,0.0,0.0,0.0,1.0,370000.0
33.0,152.0,4.0,3,3,1,0.0,0.0,0.0,1.0,820000.0
37.0,69.0,2.0,1,1,1,0.0,0.0,0.0,1.0,112470.0
33.0,155.0,2.0,2,1,1,0.0,0.0,0.0,1.0,580000.0
33.0,30.0,4.0,2,1,1,0.0,0.0,0.0,1.0,950000.0
9.0,64.0,2.0,1,1,4,0.0,0.0,0.0,1.0,240000.0
9.0,156.0,4.0,3,2,6,0.0,0.0,0.0,1.0,375000.0
21.0,87.0,2.0,1,1,1,0.0,0.0,0.0,1.0,330000.0
23.0,30.0,1.0,1,1,4,0.0,0.0,0.0,1.0,125000.0
23.0,87.0,3.0,2,1,1,0.0,0.0,0.0,1.0,120000.0
33.0,150.0,3.0,2,3,3,0.0,0.0,0.0,1.0,928000.0
21.0,74.0,2.0,1,1,1,0.0,0.0,0.0,1.0,350000.0
9.0,150.0,4.0,3,2,1,0.0,0.0,0.0,1.0,408000.0
33.0,187.0,5.0,4,2,1,0.0,0.0,0.0,1.0,970000.0
21.0,146.0,4.0,3,1,2,0.0,0.0,0.0,1.0,318000.0
21.0,131.0,3.0,2,2,1,0.0,0.0,0.0,1.0,486000.0
57.0,115.0,2.0,1,1,1,0.0,0.0,0.0,1.0,900000.0
21.0,158.0,5.0,4,2,1,0.0,0.0,0.0,1.0,645000.0
21.0,198.0,3.0,2,2,2,0.0,0.0,0.0,1.0,710000.0
41.0,120.0,4.0,3,2,1,0.0,0.0,0.0,1.0,265000.0
